kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_parm_prov,koi_model_snr,koi_count,koi_tce_plnt_num,koi_tce_delivname,koi_trans_mod,koi_model_chisq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec
10979716,K07394.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED,10.684047700,0,1.0120,3.51500,8.1901E+04,0.462694,2.45623,LS+MCMC,26.43,0.0779,87.64,444.0,9.21,24.564000,q1_q17_dr25_koi,395.30,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,3887.00,4.743,-0.1000,0.5230,0.5530,,q1_q17_dr25_stellar,293.790770,48.401421
10979952,K05848.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,323.159363000,0,0.0504,2.42700,3.686E+02,0.017259,200.00937,MCMC,3.41,0.8873,89.95,331.0,2.83,1033.600000,q1_q16_koi,7.40,1,1,q1_q16_tce,Mandel and Agol (2002 ApJ 580 171),,5251.00,3.872,-0.2800,1.8110,0.8910,,stellar_q1_q16,293.886020,48.469292
10982373,K07395.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,1,0,0,0,q1_q17_dr25_sup_koi,INDIV_TRANS_SKYE_ZUMA_TRACKER---SWEET_NTL---CENT_FEW_DIFFS,2.002808450,,,1.22000,,,0.02416,none,,,,,15763.18,,q1_q17_dr25_koi,,1,1,q1_q17_dr25_tce,,,,,,,,,,294.902920,48.477211
10982872,K00343.01,Kepler-142 c,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.761705895,0,0.3840,3.30610,4.971E+02,0.020577,0.94571,LS+MCMC,2.75,0.0555,87.89,1201.0,491.37,10.430000,q1_q17_dr25_koi,138.50,3,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5794.00,4.263,0.0700,1.2250,1.0040,,q1_q17_dr25_stellar,295.118900,48.481281
10982872,K00343.02,Kepler-142 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.024143568,0,0.5130,2.52730,2.394E+02,0.014511,0.72886,LS+MCMC,1.94,0.0314,84.56,1597.0,1535.09,5.400000,q1_q17_dr25_koi,88.40,3,2,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5794.00,4.263,0.0700,1.2250,1.0040,,q1_q17_dr25_stellar,295.118900,48.481281
10982872,K00343.03,Kepler-142 d,CONFIRMED,Done,CANDIDATE,0.9980,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,41.808503100,0,0.0110,7.79700,1.904E+02,0.012520,0.77217,LS+MCMC,1.67,0.2361,89.98,582.0,27.15,41.480000,q1_q17_dr25_koi,27.30,3,3,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5794.00,4.263,0.0700,1.2250,1.0040,,q1_q17_dr25_stellar,295.118900,48.481281
10984090,K00112.02,Kepler-466 c,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.709214104,0,0.0510,2.63020,1.311E+02,0.010424,1.77451,LS+MCMC,1.16,0.0465,89.73,1206.0,500.46,10.888000,q1_q17_dr25_koi,50.60,2,2,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5833.00,4.407,-0.0400,1.0220,0.9740,,q1_q17_dr25_stellar,295.648710,48.495560
10984090,K00112.01,Kepler-466 b,CONFIRMED,Done,CANDIDATE,0.9900,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,51.079264510,0,0.0170,6.37290,7.368E+02,0.024683,1.79031,LS+MCMC,2.75,0.2671,89.98,503.0,15.17,62.740000,q1_q17_dr25_koi,126.80,2,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5833.00,4.407,-0.0400,1.0220,0.9740,,q1_q17_dr25_stellar,295.648710,48.495560
10987439,K07396.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---MOD_ODDEVEN_ALT---DEEP_V_SHAPED---HAS_SEC_TCE---CENT_SATURATED,10.674598360,0,1.2550,3.82706,1.6676E+04,0.422910,0.49021,LS+MCMC,68.58,0.1039,84.98,1083.0,325.55,14.346400,q1_q17_dr25_koi,1845.60,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,6496.00,4.212,0.1000,1.4850,1.3120,,q1_q17_dr25_stellar,296.825870,48.443378
10987985,K00758.01,Kepler-665 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,16.013084190,0,0.7990,3.25540,1.1219E+03,0.034369,1.10942,LS+MCMC,3.10,0.1148,88.14,593.0,29.31,24.700000,q1_q17_dr25_koi,33.20,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5015.00,4.499,0.1000,0.8260,0.7850,,q1_q17_dr25_stellar,297.025630,48.478588
10989032,K07397.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,1,0,0,0,q1_q17_dr25_sup_koi,MOD_NONUNIQ_ALT,2.305097141,0,1.2860,1.93780,5.88E+03,0.375137,0.34953,LS+MCMC,89.22,0.0438,73.81,2753.0,13581.41,4.610000,q1_q17_dr25_koi,133.40,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,8851.00,4.085,0.0700,2.1780,2.1060,,q1_q17_dr25_stellar,297.393490,48.410751
10989274,K06233.01,Kepler-1645 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,16.178030000,0,0.0810,5.18000,4.49E+02,0.019283,1.03220,LS+MCMC,2.25,0.1285,89.81,754.0,76.54,24.260000,q1_q17_dr25_koi,6.00,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5929.00,4.413,0.1400,1.0690,1.0790,,q1_q17_dr25_stellar,297.479460,48.418571
10989620,K05849.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,21.512259000,0,0.1017,4.33700,1.313E+02,0.010344,2.25955,MCMC,1.13,0.1495,89.95,639.0,39.45,38.100000,q1_q16_koi,7.10,1,1,q1_q16_tce,Mandel and Agol (2002 ApJ 580 171),,5611.00,4.424,0.1400,0.9970,0.9620,,stellar_q1_q16,297.617070,48.408089
10990886,K00478.01,Kepler-568 b,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,11.023474798,0,0.7240,1.48140,1.7955E+03,0.041967,12.04460,LS+MCMC,2.46,0.0794,89.03,429.0,8.04,42.600000,q1_q17_dr25_koi,77.20,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,3744.00,4.718,0.2000,0.5370,0.5510,,q1_q17_dr25_stellar,298.105710,48.401150
10990917,K01643.01,Kepler-919 b,CONFIRMED,Done,CANDIDATE,0.9960,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,11.046053650,0,0.0640,4.79900,3.083E+02,0.016086,0.88069,LS+MCMC,1.80,0.0981,89.79,869.0,134.66,17.840000,q1_q17_dr25_koi,24.30,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,6093.00,4.429,-0.1200,1.0250,1.0250,,q1_q17_dr25_stellar,298.114780,48.494400
